Photo,Buyer's Code,Description,Article Nr.,REMARK,CUSHION,GLASS / MIRROR,UOM,W,D,H,SW,SH,SD,AH,Weight Capacity (Kg/Lt),MATERIALS,FINISHING COLOR OF ITEM,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NW (KG),GW (KG),CBM,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,24410,PICNIC BASKET,2433099,,,,CM,31,31,38,,,,,,"Rattan Slimit , Cotton fabric/Belacu (off white)",Natural and White,,13.5,34x34x41 cm,0.52,1.20,0.04,,,,,,,
,,ZALIE BASKET - SET OF 2,2433043,S: 42x42x35 cm,,,CM,48,48,39,,,,,,Banana - Synthetic raffia,Natural,,22,50x50x41 cm,3.64,4.14,0.10,,,,,,,
,,GAE BASKET - SET OF 2,2433054,S: 40x40x26/34,,,CM,45,45,31/39,,,,,,Agel,Natural bleach - Navy,,27,47x47x41 cm,1.68,2.18,0.01,,,,,,,
,,THEA BASKET - SET OF 2,2433040,"S: 33x21,5x17,5 cm",,,CM,38,24,21,,,,,,Banana - Synthetic raffia,Natural,,18,40x26x23 cm,1.46,1.96,0.02,,,,,,,
,24423,KUOTI BASKET SET 2,2433012,S: 36x36x40 Cm,,,CM,47,47,44,,,,,,Banana,Natural,,26,51x51x47 cm,4.28,5.00,0.10,,,,,,,
,,TSODILO BOWL,2434041,"- W/O HANDLE
- W/O GLASS
- W/O RUBBER
- STANDAR PACKAGING",,,CM,12,12,11,,,,,,Terracotta - Jute ,Antique Black,,6.5,17x17x16 cm,0.54,1.00,0.00,,,,,,,
,24766,RUMA SIDE TABLE AND TRUNK,2432016,"INDOOR , without liner

ECO VERSION",,,CM,31.50,52.50,51.50,,,,,,Rattan Kubu Grey,Natural,,39,37x57x55 cm,3.31,4.81,0.12,,,,,,,
,24557,RUG BEATER RATTAN,24350157,,,,CM,25,3,74.5,,,,,,Rattan kubu grey,Natural,,6,27x6x77 cm,0.21,,0.01,,,,,,,
,,ZIVANA BAG,2435056,,,,CM,49,27.50,31/46,,,,,,Mendong,Natural,,13.5,51x30x34 cm,0.57,,0.05,,,,,,,
,25116,SEFIA BAG,2435055,,,,CM,49,16.50,35/51,,,,,,Mendong,Natural,,13.5,51x19x38 cm,0.40,,0.04,,,,,,,
,24967,LEMON BASKET SET OF 2,2433100,"Size include handle
L: 35x35x60 cm (With 2 Leaves)
S: 25,5x25,5x40,5 cm (With 1 Leaf)",,,CM,35,35,60,,,,,,"Iron frame, rattan fitrit","Body: PANTONE 13-0752 TPG Lemon

Branch&Leaves: PANTONE 17-0115 TPG Oil Green",,39,38x38x63 cm,1.57,3.54,0.09,,,,,,,
,24990,DIXON BAG,24350159,,,,CM,39,13.5,25/37,,,,,,Pandan Fiber,Natural,,12,"42x13,5x31 cm",0.20,1.00,0.00,,,,,,,
,25109,BAILEY BASKET - B,2433101-B,,,,CM,41,37.5,42,,,,,,"Rattan Core , agel bleach",Natural,,21.0,42x40x28 cm,1.23,2.64,0.05,,,,,,,
,25147,BREAD BASKET A,2433103,,,,CM,42,22,17/21,,,,,,"Kubu grey, leather",Natural,,18.5,44x25x23 cm,0.67,1.17,0.03,,,,,,,
,25148,FANNY BASKET,2433102,,,,CM,41,30.5,"27,5/45,5",,,,,,Rattan kubu grey - rattan slimit grey,Natural,,14,"44x32,5x29,5 cm",1.02,1.52,0.04,,,,,,,
,25149,BRIELA STOOL AND STORAGE,2431079,,"YES
Cp 7x7

Filling: 90% Foam + 10% Dacron",,CM,44,44,41/47,,,,,28 liter,"Mahogany wood frame, Rattan kubu grey, rattan skin lasio grey, hydrolic",Natural,,45,48x48x50 cm,9.20,10.20,0.12,,,,,,,
,25150,FAYA SIDE TABLE AND TRUNK,2432018,,,,CM,69.5,40,38,,,,,,"Mahogany wood frame, Rattan kubu grey, rattan skin lasio grey, hydrolic",Natural,,42,73x44x41 cm,8.63,9.63,0.13,,,,,,,
,23460,WHALE DRIFTWOOD DECO,24350166,,,,CM,12,60,27,,,,,,Wood,Natural,,13.5,57x12x29 cm,1.02,2.10,,,,,,,,
,23420,RING DRIFTWOOD DECO,24350167,"Ring Dimention 10cm
Inner Diameter 6 cm",,,CM,35,35,8,,,,,,Wood,Natural,,11.5,39x39x11 cm,0.87,1.70,,,,,,,,
,,PLANET HANGING LAMP,2434054,"NO Electricity
Remove the plate",,,CM,37.5,37.5,19,,,,,,"Iron frame, rattan slimit grey",Natural grey,,16,38x38x22 cm,0.66,1.30,,,,,,,,
,,ROCKET STORAGE,2433112,WITHOUT CUSHION,NO,,CM,48,50,86,,,,,,"Iron frame, rattan slimit grey",Natural Grey,,59,51x53x55 cm,3.30,4.90,0.15,,,,,,,
,,MAKE UP SUITCASE,24350171,,,Yes,CM,38,38,17,,,,,,"Rattan 1/2 polish, rattan slimit grey, accessories (iron, leather & mirror)",Natural,,32.5,40x40x19 cm,1.30,1.90,0.030,,,,,,,
,25214,DECO HAT,24350163,,,,CM,31,31,40,,,,,,Rattan fitrit,Dark Brown,,11,33x33x42 cm,0.26,0.76,0.05,,,,,,,
,25456,CHISEL STORAGE,2493004,without ears,,,CM,60,28/36,41.5,,,,,5 Kg,"Rattan core, rattan slimit grey",Natural grey,,35,62x38x43 cm,1.40,2.50,0.10,,,,,,,
,25455,ACORN LAMP,2434055,Without  Electricity,,,CM,41,41,45,,,,,,"Iron frame, Rattan slimit grey",Natural grey,,32,43x43x48 cm,1.90,3.30,0.09,,,,,,,
,,CLOVIS BASKET,2433114,,,,CM,24,18,"9,5/15",,,,,2.00,Rattan Slimit Grey,Natural Grey,,12,27x20x18 cm,0.18,0.90,0.01,,,,,,,
